Robot0
7	12	8	5	8	9	10	6	2	3	3	8	14	13	17	17	17	18	12	9	9	18	25	11	11	14	12	5	6	13	14	10	

6	14	11	8	7	8	6	2	1	2	2	8	14	16	12	13	11	11	7	11	17	22	30	26	21	17	21	13	4	6	6	8	

3	6	9	7	12	9	2	4	3	1	2	8	10	10	8	8	8	8	7	11	14	23	22	18	18	14	13	12	8	8	11	13	

4	2	5	3	2	2	2	7	9	2	0	6	13	9	5	4	12	8	7	13	16	24	30	26	18	13	15	10	8	5	5	8	

4	1	0	0	0	3	9	4	8	3	2	9	10	12	4	6	22	16	22	24	19	24	29	26	22	15	14	7	7	14	17	11	

2	2	2	1	0	2	7	2	7	4	2	10	6	11	7	11	16	17	38	32	18	22	26	34	28	21	17	15	18	18	17	16	

1	0	2	1	0	0	0	0	4	5	5	13	8	5	6	14	14	20	31	21	16	22	22	21	22	27	15	18	23	15	13	15	

2	1	3	0	1	0	3	3	6	7	8	11	7	5	4	16	17	22	21	13	15	18	28	18	22	30	20	21	25	15	15	13	

3	2	1	0	4	3	3	2	4	8	5	5	9	7	6	19	14	16	18	9	12	24	33	19	23	24	20	15	14	13	16	6	

2	1	0	0	2	1	0	2	4	12	8	9	17	9	10	21	14	16	16	10	14	23	26	23	15	19	21	13	9	5	10	5	

1	0	0	0	1	2	1	4	4	5	7	13	12	6	6	17	16	19	14	13	13	21	22	28	22	18	21	15	12	14	9	6	

0	0	0	0	0	1	0	2	8	7	5	9	5	3	4	12	8	17	11	8	9	12	17	24	19	12	11	8	6	11	7	2	

0	0	0	0	1	2	2	1	5	7	3	2	2	3	3	7	10	16	14	9	4	7	14	17	15	7	8	5	4	7	10	4	

0	0	0	1	4	2	1	4	10	11	7	5	3	4	4	7	7	14	15	5	3	4	12	7	10	7	12	6	6	11	15	8	

0	0	0	0	1	1	3	5	7	7	5	3	3	4	5	11	11	13	16	5	5	8	13	10	9	11	14	6	9	15	16	11	

0	0	0	0	2	3	4	8	9	3	6	8	5	7	7	7	8	3	11	7	3	3	12	15	7	8	16	13	10	10	6	4	

0	0	0	0	0	0	0	6	10	3	2	1	2	4	4	3	3	2	7	6	4	3	6	6	4	7	12	10	9	6	4	1	

Robot2
14	19	20	15	17	10	15	16	16	16	13	9	7	5	5	4	3	4	10	9	2	4	3	1	2	3	4	3	2	3	5	3	

20	26	25	13	15	9	22	20	12	19	18	18	12	6	10	9	6	5	13	14	12	6	3	2	7	5	5	2	2	6	6	3	

20	23	15	7	7	10	19	19	20	19	10	10	10	3	6	5	3	4	8	7	14	8	3	4	9	6	7	5	4	6	12	6	

13	11	13	20	23	21	31	26	21	16	9	7	4	0	2	2	3	7	8	7	10	18	13	6	3	3	1	1	3	6	12	5	

15	9	13	24	21	19	29	27	16	13	10	4	3	2	1	0	1	7	10	22	11	10	17	13	6	3	4	4	6	9	13	8	

18	9	9	27	13	14	21	26	18	13	10	2	3	3	1	0	2	3	15	30	13	7	11	3	4	1	2	4	9	8	9	7	

17	8	4	14	8	12	11	15	12	5	4	3	2	5	4	2	4	4	11	16	14	12	8	3	5	5	1	2	8	11	15	8	

20	17	7	8	3	5	6	6	6	3	4	3	1	1	1	3	4	5	10	12	12	7	3	2	3	9	3	5	5	6	11	6	

13	18	11	9	9	8	7	5	7	6	4	3	1	6	5	6	5	5	10	4	8	5	5	6	8	10	8	11	8	5	2	2	

13	19	11	7	10	15	12	2	7	16	10	6	8	13	5	5	4	3	9	6	10	9	10	4	5	4	11	14	7	4	0	0	

6	10	6	6	9	8	10	6	12	21	18	11	7	11	10	5	4	1	4	5	6	7	11	5	2	4	4	4	2	1	1	0	

9	7	8	11	13	17	14	10	12	12	9	9	12	7	8	4	1	1	4	3	6	11	10	4	1	4	2	2	3	1	4	1	

11	4	4	12	8	13	7	4	6	19	15	12	12	9	13	15	9	5	9	12	8	17	8	1	1	1	2	2	3	3	3	1	

12	9	11	14	7	14	11	3	2	12	12	17	11	11	11	11	11	9	7	11	6	14	7	4	0	1	4	2	8	12	9	5	

